Date,NFLX
19-07-2021,528.5749815
20-07-2021,528.4700015
21-07-2021,518.2999875
22-07-2021,510.3399965
23-07-2021,511.0349885
26-07-2021,515.0700075
27-07-2021,517
28-07-2021,520.7249755
29-07-2021,517.2850035
30-07-2021,515.3749845
02-08-2021,515.179993
03-08-2021,510.5
04-08-2021,514.1749875
05-08-2021,519.7149965
06-08-2021,523.115021
09-08-2021,520.3299865
10-08-2021,516.8799745
11-08-2021,514.669998
12-08-2021,510.100006
13-08-2021,516.475006
16-08-2021,517.8399965
17-08-2021,517.494995
18-08-2021,522.5150145
19-08-2021,535.130005
20-08-2021,545.2449955
23-08-2021,549.644989
24-08-2021,552.290009
25-08-2021,549.1450195
26-08-2021,549.25
27-08-2021,556.7099915
30-08-2021,561.8049925
31-08-2021,565.5449825
01-09-2021,580
02-09-2021,591.2200015
03-09-2021,587.51001
07-09-2021,603.919983
08-09-2021,605.654999
09-09-2021,602.994995
10-09-2021,601.5599975
13-09-2021,590.675018
14-09-2021,581.4200135
15-09-2021,579.994995
16-09-2021,582.5999755
17-09-2021,585.5650025
20-09-2021,579.805023
21-09-2021,575.625
22-09-2021,587.670013
23-09-2021,594.225006
24-09-2021,588.3099975
27-09-2021,585.255005
28-09-2021,589.8499755
29-09-2021,598.9450075
30-09-2021,613.524994
01-10-2021,606.25
04-10-2021,610.404999
05-10-2021,623.640015
06-10-2021,633.11499
07-10-2021,638.6450195
08-10-2021,637.3299865
11-10-2021,633.100006
12-10-2021,629.8249815
13-10-2021,627.1399845
14-10-2021,631.8349915
15-10-2021,632.289978
18-10-2021,629.5
19-10-2021,636.649994
20-10-2021,627.275024
21-10-2021,641.330017
22-10-2021,658.63501
25-10-2021,666.475006
26-10-2021,669.630005
27-10-2021,666.6299745
28-10-2021,672.4150085
29-10-2021,681.1049805
01-11-2021,683.2549745
02-11-2021,680.75
03-11-2021,683.3300175
04-11-2021,675.720001
05-11-2021,655.3250125
08-11-2021,649.894989
09-11-2021,655.51001
10-11-2021,651.220001
11-11-2021,657.7650145
12-11-2021,668.580017
15-11-2021,678.375
16-11-2021,682.6300045
17-11-2021,693.5400085
18-11-2021,685.73999
19-11-2021,684.5799865
22-11-2021,667.9749755
23-11-2021,656.2399905
24-11-2021,656.269989
26-11-2021,668.539978
29-11-2021,663.139984
30-11-2021,657.6950075
01-12-2021,635.7950135
02-12-2021,619.119995
03-12-2021,609.75
06-12-2021,609.144989
07-12-2021,620.1450195
08-12-2021,627.830017
09-12-2021,620.339996
10-12-2021,611.8099975
13-12-2021,606.0800175
14-12-2021,595.2099915
15-12-2021,595.100006
16-12-2021,595.4150085
17-12-2021,587.494995
20-12-2021,593.5700075
21-12-2021,600.839996
22-12-2021,608.725006
23-12-2021,612.225006
27-12-2021,612.125
28-12-2021,614.0499875
29-12-2021,609.3299865
30-12-2021,615.9249875
31-12-2021,608.0650025
03-01-2022,600.274994
04-01-2022,591.0049745
05-01-2022,579.860016
06-01-2022,552.6849975
07-01-2022,545.824982
10-01-2022,535.0050045
11-01-2022,536.98999
12-01-2022,538.14502
13-01-2022,529.524994
14-01-2022,525.125
18-01-2022,515.2149965
19-01-2022,516.860016
20-01-2022,516.785004
21-01-2022,394.569992
24-01-2022,369.3600005
25-01-2022,376.419998
26-01-2022,369.6399995
27-01-2022,386.449997
28-01-2022,379.5399935
31-01-2022,412.950012
01-02-2022,442.01001
02-02-2022,439.230011
03-02-2022,416.7700045
04-02-2022,404.705002
